taskIndex,CPUTime
0,0.453
1,0.201
2,0.243
3,0.161
4,0.127
5,0.192
6,0.148
7,0.231
8,0.21
9,0.177
10,0.285
11,0.248
12,0.208
13,0.129
14,0.386
15,0.187
16,0.241
17,0.403
18,0.187
19,0.311
20,0.223
21,0.186
22,0.151
23,0.229
24,0.23
25,0.176
26,0.172
27,0.155
28,0.243
29,0.172
30,0.195
31,0.194
32,0.303
33,0.312
34,0.209
35,0.208
36,0.21
37,0.191
38,0.171
39,0.157
40,0.32
41,0.144
42,0.147
43,0.112
44,0.134
45,0.173
46,0.161
47,0.243
48,0.161
49,0.35
50,0.114
51,0.299
52,0.229
53,0.221
54,0.359
55,0.242
56,0.187
57,0.205
58,0.2
59,0.168
60,0.217
61,0.198
62,0.176
63,0.234
64,0.222
65,0.172
66,0.219
67,0.257
68,0.111
69,0.267
70,0.183
71,0.191
72,0.273
73,0.29
74,0.141
75,0.195
76,0.382
77,0.22
78,0.272
79,0.298
80,0.203
81,0.222
82,0.15
83,0.239
84,0.334
85,0.242
86,0.284
87,0.217
88,0.139
89,0.321
90,0.364
91,0.145
92,0.182
93,0.275
94,0.167
95,0.161
96,0.397
97,0.11
98,0.174
99,0.184
100,0.382
101,0.181
102,0.299
103,0.169
104,0.326
105,0.25
106,0.145
107,0.415
108,0.121
109,0.325
110,0.162
111,0.274
112,0.175
113,0.216
114,0.212
115,0.311
116,0.155
117,0.321
118,0.112
119,0.291
120,0.122
121,0.143
122,0.207
123,0.289
124,0.178
125,0.187
126,0.192
127,0.272
128,0.312
129,0.327
130,0.243
131,0.188
132,0.184
133,0.251
134,0.153
135,0.226
136,0.224
137,0.144
138,0.189
139,0.21
140,0.325
141,0.125
142,0.122
143,0.175
144,0.21
145,0.36
146,0.154
147,0.14
148,0.208
149,0.196
150,0.266
151,0.279
152,0.176
153,0.157
154,0.115
155,0.324
156,0.173
157,0.17
158,0.12
159,0.108
160,0.402
161,0.236
162,0.144
163,0.191
164,0.217
165,0.231
166,0.117
167,0.117
168,0.325
169,0.143
170,0.284
171,0.109
172,0.232
173,0.225
174,0.216
175,0.455
176,0.116
177,0.275
178,0.123
179,0.122
180,0.271
181,0.277
182,0.198
183,0.127
184,0.191
185,0.32
186,0.459
187,0.17
188,0.215
189,0.279
190,0.11
191,0.177
192,0.177
193,0.273
194,0.11
195,0.144
196,0.185
197,0.123
198,0.299
199,0.113
200,0.262
201,0.179
202,0.247
203,0.315
204,0.257
205,0.162
206,0.287
207,0.167
208,0.23
209,0.16
210,0.139
211,0.209
212,0.269
213,0.18
214,0.298
215,0.269
216,0.278
217,0.279
218,0.111
219,0.286
220,0.177
221,0.263
222,0.148
223,0.144
224,0.318
225,0.212
226,0.196
227,0.232
228,0.156
229,0.28
230,0.183
231,0.158
232,0.176
233,0.208
234,0.179
235,0.212
236,0.296
237,0.267
238,0.272
239,0.16
240,0.222
241,0.269
242,0.259
243,0.284
244,0.288
245,0.156
246,0.274
247,0.282
248,0.282
249,0.175
250,0.152
251,0.277
252,0.367
253,0.275
254,0.169
255,0.278
256,0.307
257,0.289
258,0.176
259,0.204
260,0.203
261,0.163
262,0.148
263,0.292
264,0.177
265,0.152
266,0.148
267,0.146
268,0.15
269,0.149
270,0.276
271,0.151
272,0.298
273,0.17
274,0.169
275,0.147
276,0.306
277,0.153
278,0.197
279,0.298
280,0.146
281,0.196
282,0.183
283,0.278
284,0.148
285,0.154
286,0.179
287,0.276
288,0.189
289,0.306
290,0.182
291,0.206
292,0.144
293,0.146
294,0.146
295,0.185
296,0.146
297,0.146
298,0.188
299,0.296
300,0.177
301,0.176
302,0.295
303,0.148
304,0.328
305,0.146
306,0.148
307,0.266
308,0.146
309,0.312
310,0.196
311,0.145
312,0.211
313,0.15
314,0.335
315,0.21
316,0.315
317,0.173
318,0.173
319,0.211
320,0.212
321,0.309
322,0.169
323,0.294
324,0.199
325,0.142
326,0.144
327,0.148
328,0.15
329,0.225
330,0.149
331,0.148
332,0.143
333,0.147
334,0.288
335,0.216
336,0.302
337,0.209
338,0.3
339,0.162
340,0.148
341,0.283
342,0.186
343,0.213
344,0.148
345,0.175
346,0.326
347,0.18
348,0.208
349,0.146
350,0.149
351,0.148
352,0.143
353,0.194
354,0.273
355,0.212
356,0.147
357,0.147
358,0.368
359,0.276
360,0.39
361,0.353
362,0.149
363,0.299
364,0.146
365,0.308
366,0.267
367,0.152
368,0.294
369,0.15
370,0.184
371,0.143
372,0.188
373,0.147
374,0.22
375,0.146
376,0.281
377,0.29
378,0.151
379,0.382
380,0.145
381,0.272
382,0.148
383,0.149
384,0.302
385,0.212
386,0.148
387,0.142
388,0.34
389,0.238
390,0.148
391,0.142
392,0.144
393,0.21
394,0.279
395,0.281
396,0.229
397,0.198
398,0.215
399,0.317
400,0.209
401,0.146
402,0.212
403,0.209
404,0.149
405,0.408
406,0.185
407,0.302
408,0.23
409,0.147
410,0.159
411,0.211
412,0.444
413,0.242
414,0.478
415,0.28
416,0.21
417,0.209
418,0.214
419,0.295
420,0.154
421,0.259
422,0.41
423,0.19
424,0.278
425,0.146
426,0.244
427,0.242
428,0.284
429,0.404
430,0.147
431,0.147
432,0.209
433,0.212
434,0.211
435,0.145
436,0.201
437,0.147
438,0.285
439,0.209
440,0.277
441,0.278
442,0.152
443,0.358
444,0.236
445,0.266
446,0.146
447,0.209
448,0.268
449,0.249
450,0.281
451,0.414
452,0.146
453,0.169
454,0.215
455,0.211
456,0.33
457,0.215
458,0.176
459,0.175
460,0.186
461,0.176
462,0.241
463,0.318
464,0.211
465,0.176
466,0.281
467,0.279
468,0.286
469,0.278
470,0.325
471,0.276
472,0.271
473,0.274
474,0.276
475,0.276
476,0.275
477,0.271
478,0.32
479,0.276
480,0.28
481,0.298
482,0.276
483,0.279
484,0.276
485,0.28
486,0.278
487,0.277
488,0.274
489,0.273
490,0.3
491,0.274
492,0.305
493,0.278
494,0.379
495,0.271
496,0.27
497,0.282
498,0.272
499,0.306
500,0.344
501,0.283
502,0.349
503,0.281
504,0.279
505,0.343
506,0.269
507,0.278
508,0.276
509,0.342
510,0.279
511,0.284
512,0.383
513,0.275
514,0.281
515,0.28
516,0.278
517,0.274
518,0.277
519,0.272
520,0.296
521,0.282
522,0.271
523,0.34
524,0.282
525,0.279
526,0.285
527,0.272
528,0.276
529,0.295
530,0.281
531,0.276
532,0.378
533,0.274
534,0.354
535,0.407
536,0.548
537,0.273
538,0.275
539,0.413
540,0.279
541,0.272
542,0.283
543,0.283
544,0.279
545,0.285
546,0.277
547,0.275
548,0.274
549,0.277
550,0.275
551,0.273
552,0.275
553,0.272
554,0.273
555,0.273
556,0.273
557,0.282
558,0.274
559,0.274
560,0.369
561,0.286
562,0.274
563,0.277
564,0.277
565,0.273
566,0.279
