taskIndex,Executiontimereward
0,4.42
1,9.95
2,8.23
3,12.42
4,15.75
5,10.42
6,13.51
7,8.66
8,9.52
9,11.3
10,7.02
11,8.06
12,9.62
13,15.5
14,5.18
15,10.7
16,8.3
17,4.96
18,10.7
19,6.43
20,8.97
21,10.75
22,13.25
23,8.73
24,8.7
25,11.36
26,11.63
27,12.9
28,8.23
29,11.63
30,10.26
31,10.31
32,6.6
33,6.41
34,9.57
35,9.62
36,9.52
37,10.47
38,11.7
39,12.74
40,6.25
41,13.89
42,13.61
43,17.86
44,14.93
45,11.56
46,12.42
47,8.23
48,12.42
49,5.71
50,17.54
51,6.69
52,8.73
53,9.05
54,5.57
55,8.26
56,10.7
57,9.76
58,10.0
59,11.9
60,9.22
61,10.1
62,11.36
63,8.55
64,9.01
65,11.63
66,9.13
67,7.78
68,18.02
69,7.49
70,10.93
71,10.47
72,7.33
73,6.9
74,14.18
75,10.26
76,5.24
77,9.09
78,7.35
79,6.71
80,9.85
81,9.01
82,13.33
83,8.37
84,5.99
85,8.26
86,7.04
87,9.22
88,14.39
89,6.23
90,5.49
91,13.79
92,10.99
93,7.27
94,11.98
95,12.42
96,5.04
97,18.18
98,11.49
99,10.87
100,5.24
101,11.05
102,6.69
103,11.83
104,6.13
105,8.0
106,13.79
107,4.82
108,16.53
109,6.15
110,12.35
111,7.3
112,11.43
113,9.26
114,9.43
115,6.43
116,12.9
117,6.23
118,17.86
119,6.87
120,16.39
121,13.99
122,9.66
123,6.92
124,11.24
125,10.7
126,10.42
127,7.35
128,6.41
129,6.12
130,8.23
131,10.64
132,10.87
133,7.97
134,13.07
135,8.85
136,8.93
137,13.89
138,10.58
139,9.52
140,6.15
141,16.0
142,16.39
143,11.43
144,9.52
145,5.56
146,12.99
147,14.29
148,9.62
149,10.2
150,7.52
151,7.17
152,11.36
153,12.74
154,17.39
155,6.17
156,11.56
157,11.76
158,16.67
159,18.52
160,4.98
161,8.47
162,13.89
163,10.47
164,9.22
165,8.66
166,17.09
167,17.09
168,6.15
169,13.99
170,7.04
171,18.35
172,8.62
173,8.89
174,9.26
175,4.4
176,17.24
177,7.27
178,16.26
179,16.39
180,7.38
181,7.22
182,10.1
183,15.75
184,10.47
185,6.25
186,4.36
187,11.76
188,9.3
189,7.17
190,18.18
191,11.3
192,11.3
193,7.33
194,18.18
195,13.89
196,10.81
197,16.26
198,6.69
199,17.7
200,7.63
201,11.17
202,8.1
203,6.35
204,7.78
205,12.35
206,6.97
207,11.98
208,8.7
209,12.5
210,14.39
211,9.57
212,7.43
213,11.11
214,6.71
215,7.43
216,7.19
217,7.17
218,18.02
219,6.99
220,11.3
221,7.6
222,13.51
223,13.89
224,6.29
225,9.43
226,10.2
227,8.62
228,12.82
229,7.14
230,10.93
231,12.66
232,11.36
233,9.62
234,11.17
235,9.43
236,6.76
237,7.49
238,7.35
239,12.5
240,9.01
241,7.43
242,7.72
243,7.04
244,6.94
245,12.82
246,7.3
247,7.09
248,7.09
249,11.43
250,13.16
251,7.22
252,5.45
253,7.27
254,11.83
255,7.19
256,6.51
257,6.92
258,11.36
259,9.8
260,9.85
261,12.27
262,13.51
263,6.85
264,11.3
265,13.16
266,13.51
267,13.7
268,13.33
269,13.42
270,7.25
271,13.25
272,6.71
273,11.76
274,11.83
275,13.61
276,6.54
277,13.07
278,10.15
279,6.71
280,13.7
281,10.2
282,10.93
283,7.19
284,13.51
285,12.99
286,11.17
287,7.25
288,10.58
289,6.54
290,10.99
291,9.71
292,13.89
293,13.7
294,13.7
295,10.81
296,13.7
297,13.7
298,10.64
299,6.76
300,11.3
301,11.36
302,6.78
303,13.51
304,6.1
305,13.7
306,13.51
307,7.52
308,13.7
309,6.41
310,10.2
311,13.79
312,9.48
313,13.33
314,5.97
315,9.52
316,6.35
317,11.56
318,11.56
319,9.48
320,9.43
321,6.47
322,11.83
323,6.8
324,10.05
325,14.08
326,13.89
327,13.51
328,13.33
329,8.89
330,13.42
331,13.51
332,13.99
333,13.61
334,6.94
335,9.26
336,6.62
337,9.57
338,6.67
339,12.35
340,13.51
341,7.07
342,10.75
343,9.39
344,13.51
345,11.43
346,6.13
347,11.11
348,9.62
349,13.7
350,13.42
351,13.51
352,13.99
353,10.31
354,7.33
355,9.43
356,13.61
357,13.61
358,5.43
359,7.25
360,5.13
361,5.67
362,13.42
363,6.69
364,13.7
365,6.49
366,7.49
367,13.16
368,6.8
369,13.33
370,10.87
371,13.99
372,10.64
373,13.61
374,9.09
375,13.7
376,7.12
377,6.9
378,13.25
379,5.24
380,13.79
381,7.35
382,13.51
383,13.42
