taskIndex,TotalPowerConsumptionreward
0,6.43
1,8.16
2,11.99
3,11.94
4,15.14
5,8.54
6,9.61
7,7.1
8,7.81
9,12.94
10,6.58
11,6.61
12,9.25
13,14.91
14,4.25
15,7.6
16,7.98
17,4.77
18,15.58
19,7.36
20,10.27
21,15.51
22,10.86
23,6.21
24,8.36
25,12.91
26,9.53
27,10.58
28,6.75
29,13.21
30,9.86
31,14.87
32,6.35
33,4.56
34,7.84
35,6.84
36,8.93
37,11.99
38,11.25
39,12.25
40,7.1
41,11.38
42,11.15
43,17.17
44,12.23
45,13.14
46,11.94
47,9.42
48,8.83
49,5.36
50,16.87
51,9.56
52,8.4
53,10.28
54,5.36
55,9.46
56,7.6
57,6.94
58,9.62
59,8.46
60,6.55
61,14.43
62,16.23
63,9.71
64,8.66
65,16.61
66,7.49
67,11.33
68,17.33
69,10.91
70,8.96
71,7.44
72,21.13
73,5.65
74,13.64
75,14.79
76,9.82
77,8.74
78,8.42
79,6.45
80,7.0
81,10.32
82,19.05
83,8.05
84,8.72
85,12.04
86,8.06
87,13.29
88,11.79
89,7.13
90,4.5
91,13.26
92,12.58
93,20.98
94,9.82
95,8.83
96,7.27
97,17.48
98,13.16
99,7.73
100,7.62
101,10.62
102,5.48
103,11.38
104,6.97
105,5.69
106,11.31
107,5.52
108,15.89
109,17.75
110,11.87
111,21.06
112,10.99
113,6.58
114,7.73
115,5.27
116,10.58
117,7.08
118,17.17
119,6.61
120,15.76
121,11.46
122,9.29
123,10.08
124,7.99
125,7.6
126,14.88
127,6.03
128,7.34
129,17.64
130,9.42
131,15.49
132,12.35
133,7.66
134,12.57
135,8.51
136,8.59
137,11.38
138,10.18
139,6.77
140,5.77
141,15.38
142,15.76
143,13.09
144,7.81
145,8.09
146,10.65
147,13.74
148,14.0
149,8.36
150,6.16
151,20.68
152,10.93
153,12.25
154,16.72
155,8.9
156,13.14
157,11.31
158,16.03
159,17.81
160,4.08
161,6.02
162,11.38
163,10.07
164,8.86
165,8.33
166,14.01
167,14.01
168,4.37
169,11.46
170,5.77
171,17.64
172,7.07
173,8.55
174,6.58
175,4.23
176,14.13
177,5.96
178,15.63
179,15.76
180,21.29
181,20.83
182,14.71
183,15.14
184,10.07
185,7.1
186,12.82
187,13.37
188,8.94
189,20.68
190,17.48
191,12.84
192,12.84
193,21.13
194,17.48
195,13.35
196,12.29
197,15.63
198,9.56
199,17.02
